,2025-12-31,2025-06-30,2025-03-31,2024-12-31,2024-09-30
Free Cash Flow,704492000.0,347829000.0,114618000.0,-886730000.0,-688739000.0
Repayment Of Debt,-614141000.0,-316821000.0,-151668000.0,-673537000.0,-707006000.0
Issuance Of Debt,0.0,809250000.0,1955869000.0,1512871000.0,2250108000.0
Capital Expenditure,-340876000.0,-412433000.0,-755308000.0,-1746985000.0,-1802638000.0
End Cash Position,3358552000.0,5660413000.0,5574639000.0,3958758000.0,4049171000.0
Beginning Cash Position,4625662000.0,5574639000.0,3958758000.0,4049171000.0,4211142000.0
Changes In Cash,-1267110000.0,85774000.0,1615881000.0,-90413000.0,-161971000.0
Financing Cash Flow,-2083546000.0,-496141000.0,1532198000.0,875136000.0,441862000.0
Net Other Financing Charges,67102000.0,-988570000.0,-272003000.0,35799000.0,32762000.0
Cash Dividends Paid,-1536507000.0,,,3000.0,
Common Stock Dividend Paid,-1536507000.0,,,3000.0,
Net Issuance Payments Of Debt,-614141000.0,492429000.0,1804201000.0,839334000.0,1543102000.0
Net Long Term Debt Issuance,-614141000.0,492429000.0,1804201000.0,839334000.0,1543102000.0
Long Term Debt Payments,-614141000.0,-316821000.0,-151668000.0,-673537000.0,-707006000.0
Long Term Debt Issuance,0.0,809250000.0,1955869000.0,1512871000.0,2250108000.0
Investing Cash Flow,-228932000.0,-178347000.0,-786243000.0,-1825804000.0,-1717732000.0
Net Other Investing Changes,-221412000.0,-203414000.0,-209068000.0,45080000.0,-200586000.0
Dividends Received Cfi,343664000.0,203187000.0,157500000.0,122500000.0,297500000.0
Net Business Purchase And Sale,-10308000.0,234313000.0,20633000.0,-246399000.0,-12008000.0
Sale Of Business,0.0,234313000.0,20633000.0,-246399000.0,-12008000.0
Purchase Of Business,-10308000.0,0.0,0.0,0.0,0.0
Net PPE Purchase And Sale,-340876000.0,-412433000.0,-755308000.0,-1746985000.0,-1802638000.0
Purchase Of PPE,-340876000.0,-412433000.0,-755308000.0,-1746985000.0,-1802638000.0
Operating Cash Flow,1045368000.0,760262000.0,869926000.0,860255000.0,1113899000.0
Taxes Refund Paid,-86108000.0,-99151000.0,-324490000.0,-100851000.0,-182944000.0
Interest Paid Cfo,-469978000.0,-440004000.0,-265458000.0,-408620000.0,-471053000.0
Change In Working Capital,378610000.0,279191000.0,239021000.0,299690000.0,583610000.0
Change In Other Current Liabilities,31184000.0,-15843000.0,-10840000.0,-1311000.0,375247000.0
Change In Other Current Assets,181695000.0,132429000.0,131047000.0,150168000.0,122838000.0
Change In Payable,34738000.0,-75375000.0,-57631000.0,89016000.0,17351000.0
Change In Receivables,142610000.0,249477000.0,188351000.0,73199000.0,79537000.0
Other Non Cash Items,160425000.0,-11849000.0,35694000.0,-101295000.0,190094000.0
Depreciation And Amortization,383840000.0,330369000.0,321925000.0,288700000.0,272543000.0
Amortization Cash Flow,,68252000.0,67178000.0,,
Depreciation,383840000.0,262117000.0,254747000.0,288700000.0,272543000.0
Gain Loss On Investment Securities,1337000.0,172000000.0,-64555000.0,-97705000.0,7718000.0
Gain Loss On Sale Of Business,0.0,-5256000.0,-4313000.0,-25095000.0,597000.0
Net Income From Continuing Operations,832762000.0,733994000.0,1098881000.0,1238067000.0,894954000.0
