,2025-09-30,2025-06-30,2025-03-31,2024-12-31,2024-09-30,2024-06-30
Free Cash Flow,844922000.0,662249000.0,-45182000.0,-329503000.0,-581399000.0,
Repurchase Of Capital Stock,-20921000.0,-42444000.0,-31440000.0,-23000.0,-17000.0,
Repayment Of Debt,-1799834000.0,-2340381000.0,-1309688000.0,-293801000.0,-2651888000.0,
Issuance Of Debt,1596121000.0,2163825000.0,1563172000.0,798576000.0,3173885000.0,
Capital Expenditure,-73409000.0,-56182000.0,-51171000.0,-56414000.0,-72240000.0,
End Cash Position,1671176000.0,1002896000.0,847108000.0,677895000.0,568043000.0,
Beginning Cash Position,1002896000.0,847108000.0,677895000.0,568043000.0,674841000.0,
Changes In Cash,668280000.0,155788000.0,169213000.0,132193000.0,-106798000.0,
Financing Cash Flow,-158467000.0,-506461000.0,214395000.0,461696000.0,474574000.0,
Net Other Financing Charges,66167000.0,-232411000.0,-7649000.0,-43056000.0,-47406000.0,
Cash Dividends Paid,0.0,,,,,
Net Common Stock Issuance,-20921000.0,-42444000.0,-31440000.0,-23000.0,-17000.0,
Common Stock Payments,-20921000.0,-42444000.0,-31440000.0,-23000.0,-17000.0,
Net Issuance Payments Of Debt,-203713000.0,-176556000.0,253484000.0,504775000.0,521997000.0,
Net Long Term Debt Issuance,-203713000.0,-176556000.0,253484000.0,504775000.0,521997000.0,
Long Term Debt Payments,-1799834000.0,-2340381000.0,-1309688000.0,-293801000.0,-2651888000.0,
Long Term Debt Issuance,1596121000.0,2163825000.0,1563172000.0,798576000.0,3173885000.0,
Investing Cash Flow,-91584000.0,-56182000.0,-51171000.0,-56414000.0,-72213000.0,
Dividends Received Cfi,0.0,,,-580000.0,0.0,
Net Business Purchase And Sale,-18175000.0,,,,0.0,0.0
Purchase Of Business,-18175000.0,,,,0.0,0.0
Net PPE Purchase And Sale,-73409000.0,-56182000.0,-51171000.0,-56414000.0,-72240000.0,
Purchase Of PPE,-73409000.0,-56182000.0,-51171000.0,-56414000.0,-72240000.0,
Operating Cash Flow,918331000.0,718431000.0,5989000.0,-273089000.0,-509159000.0,
Taxes Refund Paid,0.0,0.0,0.0,0.0,-594000.0,
Interest Paid Cfo,-598328000.0,-613561000.0,-455078000.0,-523846000.0,-666159000.0,
Change In Working Capital,-269855000.0,310456000.0,-840059000.0,209394000.0,2252628000.0,
Change In Other Current Liabilities,,,-8880000.0,,,
Change In Other Current Assets,-189138000.0,308464000.0,-33218000.0,43943000.0,21430000.0,
Change In Payable,-21506000.0,17778000.0,-15897000.0,-32219000.0,2300727000.0,
Change In Receivables,-59211000.0,-24666000.0,-782064000.0,267880000.0,-69529000.0,
Other Non Cash Items,445448000.0,349159000.0,144523000.0,1092766000.0,561218000.0,
Provisionand Write Offof Assets,28850000.0,31791000.0,30447000.0,27408000.0,16576000.0,
Depreciation And Amortization,624564000.0,593733000.0,572374000.0,559348000.0,551278000.0,
Depreciation,624564000.0,593733000.0,572374000.0,559348000.0,551278000.0,
Gain Loss On Investment Securities,1738214000.0,2323801000.0,2149184000.0,726100000.0,1980741000.0,
Net Income From Continuing Operations,58774000.0,91312000.0,110744000.0,78268000.0,101796000.0,
